panid	units	On	Sdate	Zon	A0_5	A6_18	A19_65	A65	Gen	FS	ABS	C_Dis	MFSD	price1	price2	price3	price4	price5	price6	price7	price8	br1	br2	br3	br4	br5	br6	br7	br8	NP
2	0	0	15870	1	0	1	3	0	1	4	76.38	0.1	0.1	0.68	1.06	2.16	1.39	0.91	0.65	2.16	2.19	0	0	0	0	0	0	0	0	1
2	0	0	15873	1	0	1	3	0	1	4	76.38	0.1	0.1	0.68	1.06	2.16	1.39	0.91	0.65	2.16	2.19	0	0	0	0	0	0	0	0	1
2	0	0	15874	1	0	1	3	0	1	4	76.38	0.1	0.1	0.68	1.06	2.16	1.39	0.91	0.65	2.16	2.19	0	0	0	0	0	0	0	0	1
2	0	1	15876	3	0	1	3	0	1	4	76.38	0.1	0.1	0.71	1.11	2.22	1.39	0.94	0.65	2.22	2.19	0	0	0	0	0	0	0	0	1
2	0	0	15882	1	0	1	3	0	1	4	76.38	0.1	0.1	0.68	1.06	2.16	1.39	0.91	0.65	2.16	2.19	0	0	0	0	0	0	0	0	1
2	0	0	15893	1	0	1	3	0	1	4	76.38	0.1	0.1	0.68	0.99	1.99	1.39	0.86	0.69	2.16	2.49	0	0	0	0	0	0	0	0	1
2	0	0	15905	2	0	1	3	0	1	4	76.38	0.1	0.1	0.71	0.99	1.99	1.45	0.86	0.71	2.22	2.55	0	0	0	0	0	0	0	0	1
2	0	1	15908	3	0	1	3	0	1	4	76.38	0.1	0.1	0.71	0.99	1.99	1.45	0.86	0.71	2.22	2.55	0	0	0	0	0	0	0	0	1
2	0	0	15922	1	0	1	3	0	1	4	76.38	0.1	0.1	0.68	1.06	2.09	1.39	0.91	0.65	2.16	2.49	0	0	0	0	0	0	0	0	1
2	0	0	15923	1	0	1	3	0	1	4	76.38	0.1	0.1	0.68	1.06	2.09	1.39	0.91	0.65	2.16	2.49	0	0	0	0	0	0	0	0	1
2	0	0	15950	1	0	1	3	0	1	4	76.38	0.1	0.1	0.68	1.06	2.16	1.45	0.59	0.69	2.16	2.55	0	0	0	0	0	0	0	0	1
2	0	1	15960	3	0	1	3	0	1	4	76.38	0.1	0.1	0.71	1.11	2.22	1.45	0.59	0.71	2.22	2.55	0	0	0	0	0	0	0	0	1
2	0	0	15974	1	0	1	3	0	1	4	76.38	0.1	0.1	0.68	1.06	2.16	1.39	0.59	0.71	2.16	2.49	0	0	0	0	0	0	0	0	1
